Valency,Cell,subclass_1,%_1,subclass_2,%_2,5/15/20,5/20/20,5/28/20,6/2/20,6/23/20,6/30/20,7/14/20,7/23/20,9/2/20,9/11/20,10/23/20,11/25/20,12/11/20,12/16/20,2/3/21,2/12/21,2/19/21
4,CHO-hFcgRIIA-131Arg,IgG3,10,IgG4,90,,,,,,,,,,,5343,,2439,1581,,,
4,CHO-hFcgRIIA-131Arg,IgG3,0,IgG4,100,,,,,,,,,,,3907,,559,686,,,
33,CHO-hFcgRIIA-131Arg,IgG1,100,IgG2,0,,,,,,,,,,,,,,,3164,8464,6608
33,CHO-hFcgRIIA-131Arg,IgG1,90,IgG2,10,,,,,,,,,,,,,,,2335,8323,7611
33,CHO-hFcgRIIA-131Arg,IgG1,66,IgG2,33,,,,,,,,,,,,,,,2153,6865,7072
33,CHO-hFcgRIIA-131Arg,IgG1,33,IgG2,66,,,,,,,,,,,,,,,2119,5428,5364
33,CHO-hFcgRIIA-131Arg,IgG1,10,IgG2,90,,,,,,,,,,,,,,,4937,6658,4700
33,CHO-hFcgRIIA-131Arg,IgG1,0,IgG2,100,,,,,,,,,,,,,,,4262,4787,8286
33,CHO-hFcgRIIA-131Arg,IgG1,100,IgG3,0,,,,,,,,,,,,,,,3064,8249,6840
33,CHO-hFcgRIIA-131Arg,IgG1,90,IgG3,10,,,,,,,,,,,,,,,2663,9776,7305
33,CHO-hFcgRIIA-131Arg,IgG1,66,IgG3,33,,,,,,,,,,,,,,,4869,10290,9285
33,CHO-hFcgRIIA-131Arg,IgG1,33,IgG3,66,,,,,,,,,,,,,,,4465,21491,7763
33,CHO-hFcgRIIA-131Arg,IgG1,10,IgG3,90,,,,,,,,,,,,,,,6099,26665,15705
33,CHO-hFcgRIIA-131Arg,IgG1,0,IgG3,100,,,,,,,,,,,,,,,5386,24624,13250
33,CHO-hFcgRIIA-131Arg,IgG1,100,IgG4,0,,,,,,,,,,,,,,,4078,7784,5277
33,CHO-hFcgRIIA-131Arg,IgG1,90,IgG4,10,,,,,,,,,,,,,,,2521,7491,5443
33,CHO-hFcgRIIA-131Arg,IgG1,66,IgG4,33,,,,,,,,,,,,,,,3464,6504,5568
33,CHO-hFcgRIIA-131Arg,IgG1,33,IgG4,66,,,,,,,,,,,,,,,1468,11942,4041
33,CHO-hFcgRIIA-131Arg,IgG1,10,IgG4,90,,,,,,,,,,,,,,,3023,17451,5000
33,CHO-hFcgRIIA-131Arg,IgG1,0,IgG4,100,,,,,,,,,,,,,,,5658,22038,8910
33,CHO-hFcgRIIA-131Arg,IgG2,100,IgG3,0,,,,,,,,,,,5219,,1773,2017,,,
33,CHO-hFcgRIIA-131Arg,IgG2,90,IgG3,10,,,,,,,,,,,11717,,7019,6677,,,
33,CHO-hFcgRIIA-131Arg,IgG2,66,IgG3,33,,,,,,,,,,,20331,,12264,14420,,,
33,CHO-hFcgRIIA-131Arg,IgG2,33,IgG3,66,,,,,,,,,,,15838,,9683,12328,,,
33,CHO-hFcgRIIA-131Arg,IgG2,10,IgG3,90,,,,,,,,,,,13460,,9492,11332,,,
33,CHO-hFcgRIIA-131Arg,IgG2,0,IgG3,100,,,,,,,,,,,15429,,12004,13246,,,
33,CHO-hFcgRIIA-131Arg,IgG2,100,IgG4,0,,,,,,,,,,,5566,,1415,2452,,,
33,CHO-hFcgRIIA-131Arg,IgG2,90,IgG4,10,,,,,,,,,,,6671,,4005,6220,,,
33,CHO-hFcgRIIA-131Arg,IgG2,66,IgG4,33,,,,,,,,,,,12198,,4010,2583,,,
33,CHO-hFcgRIIA-131Arg,IgG2,33,IgG4,66,,,,,,,,,,,10022,,5995,2780,,,
33,CHO-hFcgRIIA-131Arg,IgG2,10,IgG4,90,,,,,,,,,,,15483,,3898,11450,,,
33,CHO-hFcgRIIA-131Arg,IgG2,0,IgG4,100,,,,,,,,,,,12190,,8364,4853,,,
